Symbol,Name,Sector
IQV,IQVIA,Health Care
IRM,Iron Mountain,Real Estate
JBHT,J.B. Hunt,Industrials
JBL,Jabil,Information Technology
JKHY,Jack Henry & Associates,Financials
J,Jacobs Solutions,Industrials
JCI,Johnson Controls,Industrials
K,Kellanova,Consumer Staples
KVUE,Kenvue,Consumer Staples
KDP,Keurig Dr Pepper,Consumer Staples
KEY,KeyCorp,Financials
KEYS,Keysight Technologies,Information Technology
KMB,Kimberly-Clark,Consumer Staples
KIM,Kimco Realty,Real Estate
KMI,Kinder Morgan,Energy
KKR,KKR & Co.,Financials
KLAC,KLA Corporation,Information Technology
KHC,Kraft Heinz,Consumer Staples
KR,Kroger,Consumer Staples
LHX,L3Harris,Industrials
LH,Labcorp,Health Care
LRCX,Lam Research,Information Technology
LW,Lamb Weston,Consumer Staples
LVS,Las Vegas Sands,Consumer Discretionary
LDOS,Leidos,Industrials
LEN,Lennar,Consumer Discretionary
LII,Lennox International,Industrials
LYV,Live Nation Entertainment,Communication Services
LKQ,LKQ Corporation,Consumer Discretionary
LMT,Lockheed Martin,Industrials
L,Loews Corporation,Financials
LOW,Lowe's,Consumer Discretionary
LULU,Lululemon Athletica,Consumer Discretionary
LYB,LyondellBasell,Materials
MTB,M&T Bank,Financials
MPC,Marathon Petroleum,Energy
MKTX,MarketAxess,Financials
MAR,Marriott International,Consumer Discretionary
MMC,Marsh McLennan,Financials
MLM,Martin Marietta Materials,Materials
MAS,Masco,Industrials
MTCH,Match Group,Communication Services
MKC,McCormick & Company,Consumer Staples
MCK,McKesson Corporation,Health Care
MDT,Medtronic,Health Care
MET,MetLife,Financials
MTD,Mettler Toledo,Health Care
MGM,MGM Resorts,Consumer Discretionary
MCHP,Microchip Technology,Information Technology
MU,Micron Technology,Information Technology
MAA,Mid-America Apartment Communities,Real Estate
MRNA,Moderna,Health Care
MHK,Mohawk Industries,Consumer Discretionary
MOH,Molina Healthcare,Health Care
TAP,Molson Coors Beverage Company,Consumer Staples
MDLZ,Mondelez International,Consumer Staples
MPWR,Monolithic Power Systems,Information Technology
MNST,Monster Beverage,Consumer Staples
MCO,Moody's Corporation,Financials
MS,Morgan Stanley,Financials
MOS,Mosaic Company (The),Materials
MSI,Motorola Solutions,Information Technology
MSCI,MSCI Inc.,Financials
NDAQ,"Nasdaq, Inc.",Financials
NTAP,NetApp,Information Technology
NEM,Newmont,Materials
NWSA,News Corp (Class A),Communication Services
NWS,News Corp (Class B),Communication Services
NEE,NextEra Energy,Utilities
NI,NiSource,Utilities
NDSN,Nordson Corporation,Industrials
NSC,Norfolk Southern,Industrials
NTRS,Northern Trust,Financials
NOC,Northrop Grumman,Industrials
NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary
NRG,NRG Energy,Utilities
NUE,Nucor,Materials
NVR,"NVR, Inc.",Consumer Discretionary
NXPI,NXP Semiconductors,Information Technology
ORLY,O’Reilly Automotive,Consumer Discretionary
OXY,Occidental Petroleum,Energy
ODFL,Old Dominion,Industrials
OMC,Omnicom Group,Communication Services
ON,ON Semiconductor,Information Technology
OKE,Oneok,Energy
ORCL,Oracle Corporation,Information Technology
OTIS,Otis Worldwide,Industrials
PCAR,Paccar,Industrials
PKG,Packaging Corporation of America,Materials
PLTR,Palantir Technologies,Information Technology
PANW,Palo Alto Networks,Information Technology
PSKY,Paramount Skydance Corporation,Communication Services
PH,Parker Hannifin,Industrials
PAYX,Paychex,Industrials
PAYC,Paycom,Industrials
PYPL,PayPal,Financials
PNR,Pentair,Industrials
PCG,PG&E Corporation,Utilities
PSX,Phillips 66,Energy
PNW,Pinnacle West Capital,Utilities
PNC,PNC Financial Services,Financials
POOL,Pool Corporation,Consumer Discretionary
PPG,PPG Industries,Materials
PPL,PPL Corporation,Utilities
PFG,Principal Financial Group,Financials
PGR,Progressive Corporation,Financials
PLD,Prologis,Real Estate
PRU,Prudential Financial,Financials
PEG,Public Service Enterprise Group,Utilities
PTC,PTC Inc.,Information Technology
PSA,Public Storage,Real Estate
PHM,PulteGroup,Consumer Discretionary
PWR,Quanta Services,Industrials
DGX,Quest Diagnostics,Health Care
RL,Ralph Lauren Corporation,Consumer Discretionary
RJF,Raymond James Financial,Financials
RTX,RTX Corporation,Industrials
O,Realty Income,Real Estate
REG,Regency Centers,Real Estate
REGN,Regeneron Pharmaceuticals,Health Care
RF,Regions Financial Corporation,Financials
RSG,Republic Services,Industrials
RMD,ResMed,Health Care
RVTY,Revvity,Health Care
ROK,Rockwell Automation,Industrials
ROL,"Rollins, Inc.",Industrials
ROP,Roper Technologies,Information Technology
ROST,Ross Stores,Consumer Discretionary
RCL,Royal Caribbean Group,Consumer Discretionary
SPGI,S&P Global,Financials
SBAC,SBA Communications,Real Estate
SLB,Schlumberger,Energy
STX,Seagate Technology,Information Technology
SRE,Sempra,Utilities
NOW,ServiceNow,Information Technology
SHW,Sherwin-Williams,Materials
SPG,Simon Property Group,Real Estate
SWKS,Skyworks Solutions,Information Technology
SJM,J.M. Smucker Company (The),Consumer Staples
SW,Smurfit Westrock,Materials
SNA,Snap-on,Industrials
SOLV,Solventum,Health Care
SO,Southern Company,Utilities
LUV,Southwest Airlines,Industrials
SWK,Stanley Black & Decker,Industrials
SBUX,Starbucks,Consumer Discretionary
STT,State Street Corporation,Financials
STLD,Steel Dynamics,Materials
STE,Steris,Health Care
SYK,Stryker Corporation,Health Care
SMCI,Supermicro,Information Technology
SYF,Synchrony Financial,Financials
SNPS,Synopsys,Information Technology
SYY,Sysco,Consumer Staples
TMUS,T-Mobile US,Communication Services
TROW,T. Rowe Price,Financials
TTWO,Take-Two Interactive,Communication Services
TPR,"Tapestry, Inc.",Consumer Discretionary
TRGP,Targa Resources,Energy
TGT,Target Corporation,Consumer Staples
TEL,TE Connectivity,Information Technology
TDY,Teledyne Technologies,Information Technology
TER,Teradyne,Information Technology
TPL,Texas Pacific Land Corporation,Energy
TXT,Textron,Industrials
TJX,TJX Companies,Consumer Discretionary
TKO,TKO Group Holdings,Communication Services
TTD,Trade Desk (The),Communication Services
TSCO,Tractor Supply,Consumer Discretionary
TT,Trane Technologies,Industrials
TDG,TransDigm Group,Industrials
TRV,Travelers Companies (The),Financials
TRMB,Trimble Inc.,Information Technology
TFC,Truist Financial,Financials
TYL,Tyler Technologies,Information Technology
TSN,Tyson Foods,Consumer Staples
USB,U.S. Bancorp,Financials
UBER,Uber,Industrials
UDR,"UDR, Inc.",Real Estate
ULTA,Ulta Beauty,Consumer Discretionary
UNP,Union Pacific Corporation,Industrials
UAL,United Airlines Holdings,Industrials
UPS,United Parcel Service,Industrials
URI,United Rentals,Industrials
UHS,Universal Health Services,Health Care
VLO,Valero Energy,Energy
VTR,Ventas,Real Estate
VLTO,Veralto,Industrials
VRSN,Verisign,Information Technology
VRSK,Verisk Analytics,Industrials
VRTX,Vertex Pharmaceuticals,Health Care
VTRS,Viatris,Health Care
VICI,Vici Properties,Real Estate
VST,Vistra Corp.,Utilities
VMC,Vulcan Materials Company,Materials
WRB,W. R. Berkley Corporation,Financials
GWW,W. W. Grainger,Industrials
WAB,Wabtec,Industrials
WBA,Walgreens Boots Alliance,Consumer Staples
WBD,Warner Bros. Discovery,Communication Services
WM,Waste Management,Industrials
WAT,Waters Corporation,Health Care
WEC,WEC Energy Group,Utilities
WELL,Welltower,Real Estate
WST,West Pharmaceutical Services,Health Care
WDC,Western Digital,Information Technology
WY,Weyerhaeuser,Real Estate
WSM,"Williams-Sonoma, Inc.",Consumer Discretionary
WMB,Williams Companies,Energy
WTW,Willis Towers Watson,Financials
WDAY,"Workday, Inc.",Information Technology
WYNN,Wynn Resorts,Consumer Discretionary
XEL,Xcel Energy,Utilities
XYL,Xylem Inc.,Industrials
YUM,Yum! Brands,Consumer Discretionary
ZBRA,Zebra Technologies,Information Technology
ZBH,Zimmer Biomet,Health Care
ZTS,Zoetis,Health Care
